word_ja	word_ko
感じる:動詞	느끼:VV
続ける:動詞|続く:動詞	계속:NNG
歩く:動詞	걷:VV|걸어가:VV
輝く:動詞	빛나:VV
光:名詞	빛:NNG
先:名詞|前:名詞	앞:NNG|전:NNG
日々:名詞	나날:NNG
気持ち:名詞	느낌:NNG
幸せ:名詞|しあわせ:名詞|幸福:名詞	행복:NNG
みたい:名詞	같:VA
場所:名詞|所:名詞|場:名詞	자리:NNG|장소:NNG|곳:NNG
合う:動詞	맞:VV
届く:動詞	닿:VV
キット:名詞	분명:NNG
抱きしめる:動詞|抱く:動詞|抱える:動詞	안:VV|껴안:VV
人生:名詞|ライフ:名詞	인생:NNG|삶:NNG
伝える:動詞|伝わる:動詞	전하:VV
夏:名詞|真夏:名詞	여름:NNG
時間:名詞	시간:NNG
遠い:形容詞	멀:VA
出す:動詞	꺼내:VV
運命:名詞	운명:NNG
花:名詞	꽃:NNG
あの日:名詞	그날:NNG
生まれる:動詞	태어나:VV
悲しみ:名詞	슬픔:NNG
太陽:名詞	태양:NNG
気づく:動詞|気付く:動詞	눈치채:VV
瞬間:名詞|一瞬:名詞	순간:NNG
始まる:動詞|始める:動詞|始まり:名詞|始め:名詞|始:名詞	시작:NNG|처음:NNG
踊る:動詞|舞う:動詞|踊れる:動詞	춤추:VV
顔:名詞	얼굴:NNG|낯:NNG
雨:名詞	비:NNG
守る:動詞	지키:VV
瞳:名詞	눈동자:NNG
描く:動詞	그리:VV
無い:形容詞|いない:名詞	없:VA
奇跡:名詞|ミラクル:名詞|キ・セ・キ:名詞	기적:NNG
変える:動詞	바꾸:VV
聞く:動詞|聴く:動詞|問う:動詞	듣:VV|묻:VV
走る:動詞|駆ける:動詞	달리:VV|뛰:VV
意味:名詞	의미:NNG|뜻:NNG
上:名詞	위:NNG
嘘:名詞|ウソ:名詞	거짓말:NNG
永遠:名詞|永遠に:名詞|永久:名詞	영원:NNG
思い出:名詞	추억:NNG
星:名詞	별:NNG
そば:名詞|側:名詞|隣:名詞|となり:名詞	곁:NNG|옆:NNG
叫ぶ:動詞	외치:VV
離れる:動詞|去る:動詞|旅立つ:動詞	떠나가:VV|떠나:VV
希望:名詞	희망:NNG
咲く:動詞	피:VV
優しい:形容詞	착하:VA
触る:動詞|触れる:動詞|撫でる:動詞	만지:VV|어루만지:VV|쓰다듬:VV
溢れる:動詞|あふれる:動詞	넘치:VV
思い出す:動詞	기억나:VV
色:名詞	색깔:NNG
越える:動詞|超える:動詞	넘:VV
願い:名詞|望み:名詞|願いごと:名詞	바램:NNG|소원:NNG|소망:NNG
迷う:動詞	헤매:VV
答え:名詞	답:NNG
止まる:動詞|止める:動詞	멈추:VV|멎:VV
照らす:動詞	비추:VV
教える:動詞	가르치:VV
進む:動詞|進める:動詞|突き進む:動詞|突き進める:動詞|乗り出す:動詞	나아가:VV
誓う:動詞	맹세:NNG|다짐:NNG
過ぎる:動詞|すぎる:動詞	지나가:VV|지나:VV
呼ぶ:動詞	부르:VV
最後:名詞	마지막:NNG
願う:動詞	바라:VV
本当:名詞|ホント:名詞	진짜:NNG|정말:NNG
痛み:名詞|痛:名詞	아픔:NNG|통증:NNG|아파:NNG
時代:名詞	시대:NNG
勇気:名詞	용기:NNG
会える:動詞|会う:動詞|出会う:動詞|出逢う:動詞|逢う:動詞|逢える:動詞|合える:動詞|出会える:動詞|あう:動詞	만나:VV
違う:動詞	다르:VA
海:名詞	바다:NNG
大切:名詞|大事:名詞	중요:NNG
流れる:動詞	흐르:VV
掴む:動詞|つかむ:動詞	붙잡:VV|잡:VV
季節:名詞	계절:NNG
離す:動詞	놓:VV
閉じる:動詞	닫:VV
大人:名詞|オトナ:名詞	어른:NNG
次:名詞	다음:NNG
熱い:形容詞	뜨겁:VA
キス:名詞|くちづけ:名詞|口づけ:名詞	키스:NNG|입맞춤:NNG|뽀뽀:NNG
街:名詞	길거리:NNG
光る:動詞	반짝이:VV
ひとり:名詞	혼자:NNG
甘い:形容詞	달:VV
新しい:形容詞	새롭:VA
持つ:動詞|持てる:動詞	갖:VV|가지:VV
叶う:動詞|叶える:動詞	이루:VV
飛ぶ:動詞|飛べる:動詞	날:VV
燃える:動詞	불타:VV
出る:動詞	나가:VV
過去:名詞	과거:NNG
命:名詞|いのち:名詞	목숨:NNG
隠す:動詞	감추:VV
ハート:名詞	하트:NNG
怖い:形容詞|恐ろしい:形容詞|こわい:形容詞	무섭:VA|두렵:VA
悲しい:形容詞	슬프:VA|슬퍼지:VV
自由:名詞	자유:NNG
でる:動詞	나오:VV
寂しい:形容詞|さみしい:形容詞|淋しい:形容詞	외롭:VA
音:名詞	소리:NNG
散る:動詞	흩날리:VV
傷つく:動詞	다치:VV
孤独:名詞	고독:NNG|외로움:NNG
近づく:動詞|近寄る:動詞	다가오:VV|다가가:VV
景色:名詞	풍경:NNG
眩しい:形容詞	눈부시:VA
最高:名詞	최고:NNG
聞こえる:動詞	들리:VV
増す:動詞	늘:VV
昨日:名詞	어제:NNG
捨てる:動詞	버리:VV
不安:名詞	불안:NNG
夢見る:動詞	꿈꾸:VV
男:名詞|男子:名詞|男の子:名詞	남자:NNG
真実:名詞	진실:NNG
繋がる:動詞	이어지:VV
向こう:名詞	건너편:NNG
帰る:動詞|戻る:動詞|戻れる:動詞	돌아가:VV|되돌아가:VV|돌아오:VV
朝:名詞	아침:NNG
負ける:動詞|まける:動詞	지:VV
響く:動詞|鳴り響く:動詞	울리:VV
美しい:形容詞	아름답:VA
鼓動:名詞|ドキドキ:名詞|ドキ・ドキ・ワク・ワク:名詞|ドキドキしちゃう:名詞|ドキドキバクバク:名詞|胸がドキドキ:名詞	두근거림:NNG|두근대:VV
上げる:動詞	올리:VV
失う:動詞	잃:VV
友達:名詞|仲間:名詞|友:名詞	친구:NNG|벗:NNG
息:名詞	숨:NNG
大丈夫:名詞	괜찮:VA
記憶:名詞	기억:NNG
苦しい:形容詞|くるしい:形容詞|つらい:形容詞|悩ましい:形容詞	괴롭:VA
闇:名詞|暗闇:名詞	어둠:NNG
素敵:名詞	멋지:VA|멋지:VV
かける:動詞	걸:VV
力:名詞	힘:NNG
高い:形容詞	높:VA
振り向く:動詞	뒤돌아보:VV
選ぶ:動詞|選べる:動詞	고르:VV|뽑:VV
旅:名詞	여행:NNG
背中:名詞	등:NNG
青春:名詞	청춘:NNG
巡る:動詞	돌:VV
吹く:動詞	불:VV
感情:名詞	감정:NNG
以上:名詞	이상:NNG
流す:動詞	흘리:VV
出会い:名詞	만남:NNG
振り返る:動詞|顧みる:動詞	뒤돌:VV|되돌아보:VV|돌아보:VV
約束:名詞	약속:NNG
現実:名詞	현실:NNG
逃げる:動詞	도망치:VV|도망가:VV
影:名詞	그림자:NNG
月:名詞	달:NNG|월:NNG
腕:名詞	팔:NNG
長い:形容詞	길:VA
唇:名詞|くちびる:名詞	입술:NNG
包む:動詞	감싸:VV
深い:形容詞	깊:VA
名前:名詞|名:名詞	이름:NNG
立つ:動詞	서:VV
偶然:名詞	우연:NNG
揺れる:動詞|聴こえる:動詞	흔들리:VV
傷:名詞	상처:NNG
雲:名詞	구름:NNG
落ちる:動詞	떨어지:VV
開く:動詞	열리:VV
本気:名詞	진심:NNG
向かう:動詞|向く:動詞	향하:VV
歌:名詞|曲:名詞	노래:NNG|곡:NNG
夜空:名詞|星空:名詞	밤하늘:NNG
奪う:動詞	뺏:VV
汗:名詞	땀:NNG
ときめき:名詞	설레:NNG
追いかける:動詞	쫓:VV
震える:動詞|ふるえる:動詞	떨:VV|떨리:VV
乗る:動詞	타:VV
姿:名詞	모습:NNG|꼴:NNG
白い:形容詞	하얗:VA
指:名詞	손가락:NNG
頭:名詞	머리:NNG
波:名詞	파도:NNG
魂:名詞	영혼:NNG|혼:NNG
恋しい:形容詞	그립:VA
過ごす:動詞	지내:VV
楽しむ:動詞	즐기:VV
春:名詞	봄:NNG
魔法:名詞	마법:NNG|마술:NNG
絶対:名詞	절대:NNG
毎日:名詞	매일:NNG
後悔:名詞|悔い:名詞	후회:NNG
想像:名詞	상상:NNG
駆け抜ける:動詞	달려가:VV
青い:形容詞	파랗:VA|푸르:VA|새파랗:VA
遠く:名詞	멀리:NNG
身:名詞|身体:名詞|体:名詞|肉体:名詞|からだ:名詞	몸:NNG
悪い:形容詞	나쁘:VA
理由:名詞|わけ:名詞	이유:NNG
眠る:動詞	자:VV
広がる:動詞	펼쳐지:VV|퍼지:VV
虹:名詞	무지개:NNG
期待:名詞	기대:NNG
別れ:名詞	이별:NNG
映る:動詞	비치:VV
残す:動詞	남기:VV
繰り返す:動詞|くりかえす:動詞|繰り返し:名詞	반복:NNG|되풀이:NNG
弱い:形容詞	약하:VA
辿る:動詞	따라가:VV
届ける:動詞	보내:VV
寄り添う:動詞	다가서:VV
機会:名詞|チャンス:名詞	기회:NNG
冷たい:形容詞	차갑:VA|차디차:VA
頑張る:動詞|がんばる:動詞|頑張れる:動詞	애쓰:VV|힘쓰:VV
導く:動詞	이끌:VV
壊す:動詞	깨부수:VV
楽しい:形容詞|たのしい:形容詞	즐겁:VA
後:名詞|あと:名詞	뒤:NNG|후:NNG
的:名詞	과녁:NNG
早い:形容詞|速い:形容詞	빠르:VA|재빠르:VA
気分:名詞	기분:NNG
せい:名詞	탓:NNG
距離:名詞	거리:NNG
振る:動詞	흔들:VV
扉:名詞|ドア:名詞	문:NNG
壊れる:動詞	망가지:VV
下:名詞	아래:NNG|밑:NNG
刻む:動詞	새기:VV
情熱:名詞	열정:NNG
秘密:名詞	비밀:NNG
冬:名詞	겨울:NNG
地球:名詞	지구:NNG
間:名詞	사이:NNG
温もり:名詞|ぬくもり:名詞	온기:NNG
無理:名詞	무리:NNG
喜び:名詞	기쁨:NNG
覚悟:名詞	각오:NNG
近く:名詞	가까이:NNG
宇宙:名詞	우주:NNG
果て:名詞	끝:NNG
恐れる:動詞	두려워하:VV|겁내:VV
おく:動詞|置く:動詞	두:VV
数:名詞	수:NNG
壁:名詞	벽:NNG
両手:名詞	양손:NNG
肩:名詞	어깨:NNG
愛する:動詞|愛す:動詞|恋する:動詞|好く:動詞|愛せる:動詞|好き:名詞|大好き:名詞|好意:名詞|好きさ:名詞|大好きだよ:名詞|好きだから:名詞|恋をする:名詞|恋こがれる:動詞|恋い焦がれる:動詞|恋焦がれる:動詞	좋아하:VV
絆:名詞	인연:NNG
浮かぶ:動詞	떠오르:VV
降る:動詞|降らす:動詞|降らせる:動詞	내리:VV
打つ:動詞	때리:VV
死ぬ:動詞	죽:VV
開ける:動詞	열:VV
入れる:動詞	넣:VV|담:VV
少女:名詞|女の子:名詞	소녀:NNG
夜明け:名詞	새벽:NNG
辛い:形容詞	힘들:VA|힘겹:VA
嫌:名詞|嫌い:名詞|大嫌い:名詞	싫:VA
受け止める:動詞	받:VV
臆病:名詞	겁쟁이:NNG
赤い:形容詞	붉:VA
上がる:動詞|昇る:動詞|登る:動詞|あがる:動詞	오르:VV|올라가:VV|올라오:VV
口:名詞	입:NNG
痛い:形容詞|病む:動詞|病める:動詞|いたい:形容詞	아프:VA
欠片:名詞	조각:NNG
立ち上がる:動詞	일어서:VV
女:名詞|女子:名詞|女性:名詞	여자:NNG
存在:名詞	존재:NNG
望む:動詞|欲しい:形容詞	원하:VV
視線:名詞	시선:NNG
残る:動詞|足りる:動詞	남:VV
切る:動詞	자르:VV|끊:VV
集める:動詞	모으:VV
消す:動詞	끄:VV|지우:VV
特別:名詞	특별:NNG
子:名詞	아이:NNG
足跡:名詞	발자국:NNG
染まる:動詞	물들:VV
晴れる:動詞	개:VV
本能:名詞	본능:NNG
頬:名詞	볼:NNG|뺨:NNG
必要:名詞	필요:NNG
窓:名詞|窓ガラス:名詞	창문:NNG|창:NNG
お願い:名詞	부탁:NNG
広げる:動詞	펴:VV
濡れる:動詞	젖:VV
耳:名詞	귀:NNG
バカ:名詞|ばか:名詞|アホ:名詞	바보:NNG|병신:NNG
日本:名詞	일본:NNP
取る:動詞|握る:動詞	들:VV|쥐:VV|집:VV
ためらう:動詞|戸惑う:動詞	망설이:VV|머뭇거리:VV
起きる:動詞	일어나:VV
騒ぐ:動詞	떠들:VV
舞い上がる:動詞	날아오르:VV
香り:名詞	향기:NNG|향:NNG
握りしめる:動詞	움켜쥐:VV
書く:動詞	쓰:VV
似る:動詞	닮:VV
失敗:名詞	실패:NNG
ごめんね。:名詞|ごめん:名詞	미안:NNG
部屋:名詞	방:NNG|룸:NNG
プライド:名詞	자존심:NNG
暗い:形容詞	어둡:VA
花びら:名詞	꽃잎:NNG
予感:名詞	예감:NNG
見守る:動詞	지켜보:VV
時計:名詞	시계:NNG
メロディー:名詞	멜로디:NNG
話:名詞	얘기:NNG
押す:動詞	밀:VV
関係:名詞	관계:NNG
溶ける:動詞	녹:VV
物語:名詞	이야기:NNG
傘:名詞	우산:NNG
捧げる:動詞	바치:VV
他人:名詞	남:NNG
限界:名詞	한계:NNG
作る:動詞|つくる:動詞|創る:動詞|造る:動詞	만들:VV
痛む:動詞	아파하:VV
大きい:形容詞|でかい:形容詞	크:VA
感謝:名詞	감사:NNG
悔しい:形容詞	분하:VV
憧れる:動詞|あこがれる:動詞|あこがれ:名詞	동경:NNG
家:名詞	집:NNG
心配:名詞|気遣い:名詞	걱정:NNG
子供:名詞|子ども:名詞	어린애:NNG|어린아이:NNG
起こす:動詞	깨우:VV
動く:動詞	움직이:VV
足:名詞	발:NNG|다리:NNG
飲む:動詞	마시:VV
広い:形容詞	넓:VA
言い訳:名詞|いいわけ:名詞	핑계:NNG
恥ずかしい:形容詞|恥い:形容詞|恥じる:動詞|恥じらう:動詞	부끄럽:VA|수줍:VA
桜:名詞|さくら:名詞|桜の:名詞	벚꽃:NNG
疲れる:動詞	지치:VV
寝る:動詞	잠들:VV
鏡:名詞	거울:NNG
鍵:名詞	열쇠:NNG
砂:名詞	모래:NNG
着る:動詞	입:VV
問題:名詞	문제:NNG
笑い:名詞	웃음:NNG
罪:名詞	죄:NNG
怖がる:動詞|怖じる:動詞	두려워:VV
告白:名詞	고백:NNG
偽り:名詞	거짓:NNG|위선:NNG
難しい:形容詞	어렵:VA
神様:名詞	하나님:NNG
お互い:名詞	서로:NNG
食べる:動詞	먹:VV
日常:名詞	일상:NNG
戦う:動詞|闘う:動詞|争う:動詞	다투:VV|싸우:VV
小さい:形容詞	작:VA
代わり:名詞	대신:NNG
恋愛:名詞	연애:NNG
ため息:名詞|溜息:名詞|溜め息:名詞	한숨:NNG
手紙:名詞	편지:NNG
夕陽:名詞|夕日:名詞	노을:NNG
ときめく:動詞	설레:VV|설레이:VV
針:名詞	바늘:NNG
ロマンス:名詞	로맨스:NNG
一日:名詞	하루:NNG
耐える:動詞|堪える:動詞	참:VV|견디:VV|버티:VV
ポケット:名詞	주머니:NNG
シャツ:名詞	셔츠:NNG
一生:名詞|生涯:名詞	평생:NNG|일생:NNG|생애:NNG
祈り:名詞	기도:NNG
隠れる:動詞	숨:VV
破る:動詞|破れる:動詞	찢:VV|찢어지:VV|어기:VV
読む:動詞	읽:VV
宝石:名詞	보석:NNG
電話:名詞	전화:NNG|전화기:NNG
踏む:動詞	밟:VV
似合う:動詞	어울리:VV
準備:名詞	준비:NNG
匂い:名詞	냄새:NNG
悩み:名詞	고민:NNG
写真:名詞	사진:NNG
危険:名詞	위험:NNG
興味:名詞	관심:NNG
血:名詞	피:NNG
飛ばす:動詞	날리:VV
外:名詞	밖:NNG
結局:名詞	결국:NNG
くせ:名詞|癖:名詞	버릇:NNG|습관:NNG
恋人:名詞|恋人たち:名詞|恋人よ:名詞	연인:NNG|애인:NNG
吐息:名詞	숨결:NNG
遅い:形容詞	늦:VA
逃す:動詞	놓치:VV
遊ぶ:動詞	놀:VV
水:名詞	물:NNG
経験:名詞	경험:NNG
吐く:動詞	뱉:VV
味:名詞	맛:NNG
眠り:名詞	잠:NNG
驚く:動詞	놀라:VV|놀래:VV
心臓:名詞	심장:NNG
若い:形容詞	젊:VA
寒い:形容詞	춥:VA
完全:名詞	완전:NNG
普通:名詞|ふつう:名詞	보통:NNG
別れる:動詞	헤어지:VV
服:名詞	옷:NNG
短い:形容詞	짧:VA
週末:名詞	주말:NNG
結婚:名詞	결혼:NNG
秋:名詞	가을:NNG
現れる:動詞	나타나:VV
空気:名詞	공기:NNG
誘惑:名詞	유혹:NNG
努力:名詞	노력:NNG
舞台:名詞|ステージ:名詞	무대:NNG
多い:形容詞	많:VA
天使:名詞	천사:NNG
恥:名詞|羞恥心:名詞	부끄러움:NNG|부끄럼:NNG
膝:名詞	무릎:NNG
シャワー:名詞	샤워:NNG
日差し:名詞	햇살:NNG|햇빛:NNG
狂う:動詞	미치:VV
理解:名詞	이해:NNG
ケンカ:名詞|喧嘩:名詞|けんか:名詞	싸움:NNG
一言:名詞	한마디:NNG
感覚:名詞	감각:NNG
ささやく:動詞|囁く:動詞	속삭이:VV
音楽:名詞|ミュージック:名詞	음악:NNG|뮤직:NNG
騙す:動詞	속이:VV
スタイル:名詞	스타일:NNG|몸매:NNG
得る:動詞	얻:VV
眼差し:名詞|まなざし:名詞	눈빛:NNG
盗む:動詞	훔치:VV
未練:名詞	미련:NNG
さよなら:名詞|バイバイ。:名詞|グッバイ:名詞|サヨナラ:名詞|ハイ:名詞	안녕:NNG|굿바이:NNP
傷跡:名詞	흉터:NNG
感動:名詞	감동:NNG
座る:動詞	앉:VV
表情:名詞	표정:NNG
ゲーム:名詞	게임:NNG
罠:名詞	함정:NNG
明かり:名詞	불빛:NNG
半分:名詞	반:NNG|절반:NNG|반쪽:NNG
平和:名詞	평화:NNG
会話:名詞|対話:名詞	대화:NNG
うれしい:形容詞	기쁘:VA
蝶:名詞	나비:NNG
酒:名詞	술:NNG
最近:名詞	요즘:NNG
ガラス:名詞|硝子:名詞	유리:NNG
首:名詞	목:NNG|고개:NNG
回す:動詞	돌리:VV
結果:名詞	결과:NNG
争い:名詞	다툼:NNG
脱ぐ:動詞	벗:VV
ベル:名詞|鐘:名詞	벨:NNP
完璧:名詞	완벽:NNG
プレゼント:名詞|おみやげ:名詞	선물:NNG
事実:名詞	사실:NNG
映画:名詞	영화:NNG
過ち:名詞	잘못:NNG
明るい:形容詞	밝:VA|환하:VA
腰:名詞	허리:NNG
ミステリー:名詞	미스테리:NNG
片思い:名詞|片恋:名詞	짝사랑:NNG
殺す:動詞	죽이:VV
説明:名詞	설명:NNG
休む:動詞	쉬:VV
行動:名詞	행동:NNG
魅力:名詞	매력:NNG
靴:名詞|くつ:名詞	구두:NNG|신발:NNG
後ろ姿:名詞	뒷모습:NNG
昼:名詞|昼間:名詞	낮:NNG
最大:名詞	최대:NNG
テレビ:名詞	티비:NNG
許し:名詞	허락:NNG
美味しい:形容詞|おいしい:形容詞	맛있:VA
生活:名詞|暮らし:名詞|くらし:名詞	생활:NNG
グラス:名詞	글래스:NNP
携帯:名詞|携帯電話:名詞	핸드폰:NNG|휴대폰:NNG
歳月:名詞	세월:NNG
春風:名詞	봄바람:NNG
葉:名詞	잎:NNG
お金:名詞	돈:NNG
不幸:名詞	불행:NNG
つま先:名詞	발끝:NNG
怒り:名詞	분노:NNG|화:NNG
パーティ:名詞	파티:NNG
夕立:名詞	소나기:NNG
ピアノ:名詞	피아노:NNG
選択:名詞	선택:NNG
ベッド:名詞	침대:NNG
欲:名詞	욕심:NNG
性格:名詞	성격:NNG
嫉妬:名詞|ジェラシー:名詞	질투:NNG
踊り:名詞	춤:NNG
かわいい:形容詞	귀엽:VA|이쁘:VA|예쁘:VA
刺激:名詞	자극:NNG
焦らす:動詞	애태우:VV
透明:名詞	투명:NNG
忙しい:形容詞	바쁘:VA
狭い:形容詞	좁:VA
天国:名詞	천국:NNG
噛む:動詞	씹:VV
地面:名詞	땅:NNG
文字:名詞	글자:NNG
好み:名詞	취향:NNG
凍る:動詞	얼:VV
緊張:名詞	긴장:NNG
失恋:名詞	실연:NNG
ドラマ:名詞	드라마:NNG
天気:名詞	날씨:NNG
酸素:名詞	산소:NNG
口癖:名詞	입버릇:NNG
独り言:名詞	혼잣말:NNG
坂道:名詞	오르막길:NNG
いたずら:名詞	장난:NNG
カフェ:名詞	카페:NNG
試練:名詞	시련:NNG
拒否:名詞	거부:NNG
常:名詞|普段:名詞	평소:NNG
練習:名詞	연습:NNG
初恋:名詞|はつ恋:名詞	첫사랑:NNG
汚い:形容詞	더럽:VA
確認:名詞	확인:NNG
ショー:名詞	쇼:NNG
反対:名詞	반대:NNG
速度:名詞|スピード:名詞	속도:NNG
かき氷:名詞	빙수:NNG
夜中:名詞	밤새:NNG
失望:名詞	실망:NNG
丘:名詞	언덕:NNG
耳元:名詞	귓가:NNG
容易い:形容詞	쉽:VA
足取り:名詞	발걸음:NNG|걸음:NNG
キャンディー:名詞	캔디:NNG|사탕:NNG
羨ましい:形容詞|うらやましい:形容詞	부럽:VA
贅沢:名詞	사치:NNG
紹介:名詞	소개:NNG
歌詞:名詞	가사:NNG
スカート:名詞	치마:NNG
からい:形容詞	맵:VA
柔らかい:形容詞	부드럽:VA
純粋:名詞|ピュア:名詞	순수:NNG
返事:名詞	대답:NNG|답장:NNG
空間:名詞	공간:NNG
サビ:名詞|錆:名詞	녹:NNG
憎む:動詞	미워하:VV
指輪:名詞	반지:NNG
自慢:名詞	자랑:NNG
化粧:名詞	화장:NNG
確信:名詞	확신:NNG
母:名詞|母ちゃん:名詞|母さん:名詞|母親:名詞|お母さん:名詞|ママ:名詞|お母ちゃん:名詞	어머니:NNG|엄마:NNG|마마:NNG|어머님:NNG
うるさい:形容詞|騒がしい:形容詞	시끄럽:VA
概念:名詞	개념:NNG
窓辺:名詞	창가:NNG
一杯:名詞	한잔:NNG
趣味:名詞	취미:NNG
表現:名詞	표현:NNG
救い:名詞	구원:NNG
人気:名詞	인기:NNG
終える:動詞	끝내:VV
面倒い:形容詞	귀찮:VA
精神:名詞	정신:NNG
口笛:名詞	휘파람:NNG
エネルギー:名詞	에너지:NNG
挨拶:名詞	인사:NNG|인사말:NNG
震え:名詞	떨림:NNG
憎い:形容詞	밉:VA
男と女:名詞	남녀:NNG
コーヒー:名詞	커피:NNG
比較:名詞	비교:NNG
髪の毛:名詞|髪:名詞	머리카락:NNG
神経:名詞	신경:NNG
ボリューム:名詞	볼륨:NNG
拍手:名詞|喝采:名詞	박수:NNG
質問:名詞|問い:名詞	질문:NNG|물음:NNG
口元:名詞	입가:NNG
低い:形容詞	낮:VA
鼻:名詞	코:NNG
ご飯:名詞	밥:NNG
連絡:名詞	연락:NNG
氷:名詞	얼음:NNG
火遊び:名詞	불장난:NNG
仕業:名詞	짓:NNG
順序:名詞	순서:NNG
沼:名詞	늪:NNG
全国:名詞	전국:NNG
狼:名詞	늑대:NNG
一晩:名詞|一夜:名詞	하룻밤:NNG|밤새:VV
熊:名詞	곰:NNG
タバコ:名詞	담배:NNG
会社:名詞	회사:NNG|직장:NNG
競争:名詞	경쟁:NNG
雰囲気:名詞	분위기:NNG
布団:名詞	이불:NNG
塵:名詞	먼지:NNG
ルーレット:名詞	룰렛:NNG
番号:名詞	번호:NNG
終日:名詞	종일:NNG
反則:名詞	반칙:NNG
薬:名詞	약:NNG
苦痛:名詞	고통:NNG
規則:名詞	규칙:NNG
話題:名詞	화제:NNG
判断:名詞	판단:NNG
減らす:動詞	줄이:VV
おしり:名詞	엉덩이:NNG
嫌気:名詞	싫증:NNG|짜증:NNG
立場:名詞	입장:NNG
売る:動詞	팔:VV
目前:名詞	눈앞:NNG
退く:動詞	물러서:VV
話し方:名詞	말투:NNG
ハチミツ:名詞	꿀:NNG
パン:名詞	빵:NNG
顎:名詞	턱:NNG
居る:動詞	머물:VV
雪:名詞	눈송이:NNG
不思議:名詞	신기:NNG
最初:名詞	최초:NNG
今年:名詞	올해:NNG
幻:名詞	환상:NNG
火:名詞	불:NNG
革命:名詞	혁명:NNG
流れ:名詞	흐름:NNG
静か:名詞	고요:NNG
リズム:名詞	리듬:NNG
無限:名詞	무한:NNG
隙間:名詞	틈새:NNG|틈:NNG
仕方:名詞	방법:NNG
ハッピー:名詞	해피:NNG
イメージ:名詞	이미지:NNG
ルール:名詞	룰:NNG
ストーリー:名詞	스토리:NNG
嵐:名詞	폭풍:NNG
鳥:名詞	새:NNG
爪:名詞	손톱:NNG
モンスター:名詞	몬스터:NNP
勝利:名詞|勝ち:名詞	승리:NNG
翼:名詞	날개:NNG
左:名詞	왼쪽:NNG
メッセージ:名詞	메시지:NNG
足音:名詞	발소리:NNG
謎:名詞	수수께끼:NNG
山:名詞	산:NNG
真っ白:名詞	하얀색:NNG
指先:名詞	손끝:NNG
歴史:名詞	역사:NNG
支配:名詞	지배:NNG
地図:名詞	지도:NNG
川:名詞	강물:NNG
ステップ:名詞	스텝:NNG
ヒーロー:名詞	영웅:NNG
訳:名詞	사연:NNG
アップ:名詞	업:NNG
神:名詞	신:NNG
ナイト:名詞	나이트:NNG
ビート:名詞	비트:NNG
酔う:動詞	취하:VV
敵:名詞	적:NNG
正義:名詞	정의:NNG
証:名詞	증거:NNG
花火:名詞	불꽃놀이:NNG
ページ:名詞	페이지:NNG
右:名詞	오른쪽:NNG
出口:名詞	출구:NNG
