ArtistName,Ranking,SongName,Year
放課後ティータイム,39,GO! GO! MANIAC,2010
桑田佳祐,40,本当は怖い愛とロマンス,2010
SKE48,41,1!2!3!4! ヨロシク!,2010
コブクロ,42,流星,2010
稲葉浩志,45,Okay,2010
放課後ティータイム,47,"NO,Thank You!",2010
チームドラゴン from AKB48,48,心の羽根,2010
少女時代,49,Gee,2010
放課後ティータイム,50,Listen!!,2010
放課後ティータイム,51,Utauyo!!MIRACLE,2010
BUMP OF CHICKEN,52,宇宙飛行士への手紙,2010
BUMP OF CHICKEN,52,モーターサイクル,2010
Perfume,53,VOICE,2010
NYC,54,勇気100%,2010
遊助,55,ライオン,2010
浜崎あゆみ,56,You were...,2010
浜崎あゆみ,56,BALLAD,2010
水森かおり,57,松島紀行,2010
少女時代,58,GENIE,2010
YUI,59,GLORIA,2010
NYC,60,よく遊びよく学べ,2010
L’Arc～en～Ciel,61,BLESS,2010
Perfume,62,不自然なガール,2010
Perfume,62,ナチュラルに恋して,2010
遊助,63,ミツバチ,2010
Perfume,64,ねぇ,2010
T.M.Revolution,65,Naked arms,2010
T.M.Revolution,65,SWORD SUMMIT,2010
浜崎あゆみ,66,crossroad,2010
KARA,67,ミスター,2010
UVERworld,68,クオリア,2010
天童よしみ,69,人生みちづれ,2010
浜崎あゆみ,70,MOON,2010
浜崎あゆみ,70,blossom,2010
浜崎あゆみ,71,L,2010
西野カナ,72,会いたくて 会いたくて,2010
水樹奈々,73,PHANTOM MINDS,2010
SKE48,74,ごめんね、SUMMER,2010
木村カエラ,75,Ring a Ding Dong,2010
DOES,76,バクチ・ダンサー,2010
KARA,77,ジャンピン,2010
YUI,78,to Mother,2010
西野カナ,79,if,2010
安室奈美恵,80,Break It,2010
安室奈美恵,80,Get Myself Back,2010
五木ひろし,82,おしろい花,2010
倖田來未,83,好きで、好きで、好きで。,2010
倖田來未,83,あなただけが,2010
Girls Dead Monster,84,Crow Song,2010
シド,85,レイン,2010
YUI,86,Rain,2010
西野カナ,87,君って,2010
三代目 J Soul Brothers,88,Best Friend’s Girl,2010
GLAY,89,Precious,2010
RADWIMPS,90,マニフェスト,2010
ゆず,91,桜会(さくらえ),2010
ゆず,91,マイライフ,2010
RADWIMPS,92,携帯電話,2010
aiko,93,戻れない明日,2010
タッキー&翼,94,愛はタカラモノ,2010
放課後ティータイム,95,ごはんはおかず,2010
放課後ティータイム,95,U&I;,2010
遊助,96,ひと,2010
水樹奈々,97,Silent Bible,2010
北島三郎,98,夫婦一生,2010
SDN48,99,GAGAGA,2010
西野カナ,100,Best Friend,2010
AKB48,1,フライングゲット,2011
AKB48,2,Everyday、カチューシャ,2011
AKB48,3,風は吹いている,2011
AKB48,4,上からマリコ,2011
AKB48,5,桜の木になろう,2011
嵐,6,Lotus,2011
嵐,7,迷宮ラブソング,2011
薫と友樹、たまにムック。,8,マル・マル・モリ・モリ!,2011
SKE48,9,パレオはエメラルド,2011
Kis-My-Ft2,10,Everybody Go,2011
SKE48,11,オキドキ,2011
NMB48,13,オーマイガー!,2011
EXILE,14,Rising Sun,2011
EXILE ATSUSHI,14,いつかきっと…,2011
Hey!Say!JUMP,15,OVER,2011
東方神起,16,Why?(Keep Your Head Down),2011
SKE48,17,バンザイVenus,2011
NMB48,18,絶滅黒髪少女,2011
関ジャニ∞,19,T.W.L,2011
関ジャニ∞,19,イエローパンジーストリート,2011
福山雅治,20,家族になろうよ,2011
福山雅治,20,fighting pose,2011
Hey!Say!JUMP,21,Magic Power,2011
Not yet,22,週末Not yet,2011
赤西仁,23,Eternal,2011
BUMP OF CHICKEN,24,ゼロ,2011
KARA,25,GO GO サマー!,2011
KARA,26,ジェットコースターラブ,2011
板野友美,27,Dear J,2011
B’z,28,Don’t Wanna Lie,2011
チャン・グンソク,29,Let me cry,2011
Sexy Zone,30,Sexy Zone,2011
KAT-TUN,31,ULTIMATE WHEELS,2011
KAT-TUN,32,BIRTH,2011
前田敦子,33,Flower,2011
Not yet,34,波乗りかき氷,2011
Not yet,35,ペラペラペラオ,2011
関ジャニ∞,36,マイホーム,2011
Hey!Say!JUMP,38,「ありがとう」～世界のどこにいても～,2011
関ジャニ∞,39,ツブサニコイ,2011
関ジャニ∞,40,365日家族,2011
東方神起,41,Superstar,2011
氷川きよし,42,あの娘と野菊と渡し舟,2011
KAT-TUN,43,RUN FOR YOU,2011
B’z,44,さよなら傷だらけの日々よ,2011
KAT-TUN,45,WHITE,2011
少女時代,46,MR.TAXI,2011
少女時代,46,Run Devil Run,2011
KinKi Kids,47,Time,2011
NYC,48,ユメタマゴ,2011
フレンチ・キス,49,最初のメール,2011
EXILE,50,あなたへ,2011
EXILE ATSUSHI,50,Ooo Baby,2011
フレンチ・キス,51,カッコ悪い I love you!,2011
AKB48,52,ヘビーローテーション,2011
桑田佳祐,53,Let’s try again ～kuwata keisuke ver.～,2011
桑田佳祐,53,明日へのマーチ,2011
桑田佳祐,53,ハダカ DE 音頭 ～祭りだ!! Naked～,2011
東方神起,54,Winter Rose,2011
東方神起,54,Duet,2011
BUMP OF CHICKEN,55,Smile,2011
L’Arc～en～Ciel,56,GOOD LUCK MY WAY,2011
渡り廊下走り隊7,57,バレンタイン・キッス,2011
Perfume,58,レーザービーム,2011
Perfume,58,微かなカオリ,2011
板野友美,59,ふいに,2011
BUMP OF CHICKEN,60,友達の唄,2011
RADWIMPS,61,DADA,2011
ノースリーブス,62,唇 触れず…,2011
EXILE,63,Each Other's Way ～旅の途中～,2011
KARA,64,ウィンターマジック,2011
氷川きよし,65,情熱のマリアッチ,2011
SHINee,66,Replay-君は僕のeverything-,2011
L’Arc～en～Ciel,67,X X X,2011
堂本剛,68,縁を結いて,2011
ノースリーブス,69,Answer,2011
テゴマス,70,青いベンチ,2011
植村花菜,71,トイレの神様,2011
水森かおり,72,庄内平野 風の中,2011
渡り廊下走り隊7,73,希望山脈,2011
安室奈美恵,74,NAKED,2011
安室奈美恵,74,Fight Together,2011
安室奈美恵,74,Tempest,2011
YUI,75,HELLO ～Paradise Kiss～,2011
AKB48,76,チャンスの順番,2011
aiko,77,ホーム,2011
aiko,77,恋のスーパーボール,2011
aiko,77,ホーム,2011
フレンチ・キス,78,If,2011
渡り廊下走り隊7,79,へたっぴウィンク,2011
UVERworld,80,CORE PRIDE,2011
三代目 J Soul Brothers,81,FIGHTERS,2011
Perfume,82,スパイス,2011
山下智久,83,はだかんぼー,2011
2PM,84,Ultra Lover,2011
SUPER JUNIOR,85,Mr.Simple,2011
堂本剛,86,Nijiの詩,2011
YUI,87,It’s My Life,2011
YUI,87,Your Heaven,2011
DiVA,88,月の裏側,2011
水樹奈々,89,SCARLET KNIGHT,2011
RADWIMPS,90,狭心症,2011
2PM,91,I’m your man,2011
AKB48,92,Beginner,2011
ClariS,93,コネクト,2011
V6,94,Sexy.Honey.Bunny!,2011
V6,94,タカラノイシ,2011
SDN48,95,MIN・MIN・MIN,2011
CNBLUE,96,In My Head,2011
T-ARA,97,Bo Peep Bo Peep,2011
コブクロ,98,Blue Bird,2011
安室奈美恵,99,Sit! Stay! Wait! Down!,2011
安室奈美恵,99,Love Story,2011
AKB48,100,ポニーテールとシュシュ,2011
AKB48,1,真夏のSounds good !,2012
AKB48,2,GIVE ME FIVE!,2012
AKB48,3,ギンガムチェック,2012
AKB48,4,UZA,2012
AKB48,5,永遠プレッシャー,2012
嵐,6,ワイルド アット ハート,2012
嵐,7,Face Down,2012
SKE48,8,片想いFinally,2012
SKE48,9,キスだって左利き,2012
SKE48,10,アイシテラブル!,2012
嵐,11,Your Eyes,2012
NMB48,12,ナギイチ,2012
NMB48,13,ヴァージニティー,2012
NMB48,14,純情U-19,2012
エイトレンジャー,15,ER,2012
Kis-My-Ft2,16,WANNA BEEEE!!!,2012
Kis-My-Ft2,16,Shake It Up,2012
NMB48,17,北川謙二,2012
Kis-My-Ft2,18,We never give up!,2012
関ジャニ∞,19,愛でした。,2012
NEWS,20,チャンカパーナ,2012
Kis-My-Ft2,21,アイノビート,2012
Hey!Say!JUMP,22,SUPER DELICATE,2012
Mr.Children,23,祈り ～涙の軌道,2012
Mr.Children,23,End of the day,2012
Mr.Children,23,pieces,2012
EXILE,24,ALL NIGHT LONG,2012
Kis-My-Ft2,25,SHE!HER!HER!,2012
乃木坂46,26,走れ!Bicycle,2012
関ジャニ∞,27,あおっぱな,2012
乃木坂46,28,おいでシャンプー,2012
乃木坂46,29,ぐるぐるカーテン,2012
EXILE TRIBE,30,24karats TRIBE OF GOLD,2012
キム・ヒョンジュン,31,HEAT,2012
BUMP OF CHICKEN,32,グッドラック,2012
SMAP,33,Moment,2012
B’z,34,"GO FOR IT,BABY -キオクの山脈-",2012
SUPER JUNIOR,35,Opera,2012
The MONSTERS,36,MONSTERS,2012
SMAP,37,さかさまの空,2012
福山雅治,38,生きてる生きてく,2012
KAT-TUN,39,不滅のスクラム,2012
東方神起,40,ANDROID,2012
福山雅治,41,Beautiful life,2012
福山雅治,41,GAME,2012
Not yet,42,西瓜BABY,2012
前田敦子,43,君は僕だ,2012
KAT-TUN,44,TO THE LIMIT,2012
山下智久,45,愛、テキサス,2012
SMAP,46,僕の半分,2012
2PM,47,Beautiful,2012
東方神起,48,STILL,2012
KARA,49,スピード アップ,2012
KARA,49,ガールズ パワー,2012
渡辺麻友,50,シンクロときめき,2012
指原莉乃,51,それでも好きだよ,2012
2PM,52,マスカレード～Masquerade～,2012
氷川きよし,53,櫻,2012
KinKi Kids,54,変わったかたちの石,2012
Sexy Zone,55,Lady ダイヤモンド,2012
山下智久,57,LOVE CHASE,2012
少女時代,58,PAPARAZZI,2012
SUPER JUNIOR,59,"Sexy,Free & Single",2012
水森かおり,60,ひとり長良川,2012
キム・ヒョンジュン,61,KISS KISS,2012
キム・ヒョンジュン,61,Lucky Guy,2012
THE SECOND from EXILE,62,THINK ’BOUT IT!,2012
EXILE,63,BOW & ARROWS,2012
ノースリーブス,64,ペディキュアday,2012
Perfume,65,Spring of Life,2012
NYC,66,ハイナ!,2012
赤西仁,67,SEASONS,2012
Sexy Zone,68,Sexy Summerに雪が降る,2012
渡辺麻友,69,ヒカルものたち,2012
モーニング娘。,70,One・Two・Three,2012
モーニング娘。,70,The 摩天楼ショー,2012
SHINee,71,Dazzling Girl,2012
NYC,72,ワンダフル キューピット,2012
中山優馬,72,がらすの・魔法・,2012
渡辺麻友,73,大人ジェリービーンズ,2012
BUMP OF CHICKEN,74,firefly,2012
AKB48,75,上からマリコ,2012
ももいろクローバーZ,76,Z女戦争,2012
三代目 J Soul Brothers,77,Powder Snow ～永遠に終わらない冬～,2012
Perfume,78,Spending all my time,2012
水樹奈々,79,BRIGHT STREAM,2012
HALLOWEEN JUNKY ORCHESTRA,80,HALLOWEEN PARTY,2012
フレンチ・キス,81,ロマンス・プライバシー,2012
L’Arc～en～Ciel,82,CHASE,2012
氷川きよし,83,最後と決めた女だから,2012
ももいろクローバーZ,84,サラバ、愛しき悲しみたちよ,2012
板野友美,85,10年後の君へ,2012
SUPER☆GiRLS,86,プリプリ■SUMMERキッス,2012
EXILE ATSUSHI,87,MELROSE ～愛さない約束～,2012
SDN48,88,負け惜しみコングラチュレーション,2012
モーニング娘。,89,ワクテカ Take a chance,2012
GENERATIONS,90,BRAVE IT OUT,2012
LiSA,91,crossing field,2012
少女時代,92,Oh!,2012
指原莉乃 with アンリレ,93,意気地なしマスカレード,2012
安室奈美恵,94,Sit! Stay! Wait! Down!,2012
安室奈美恵,94,Love Story,2012
ももいろクローバーZ,95,猛烈宇宙交響曲・第七楽章「無限の愛」,2012
ONE OK ROCK,96,The Beginning,2012
五木ひろし,97,夜明けのブルース,2012
渡り廊下走り隊7,98,少年よ 嘘をつけ!,2012
ACE OF SPADES,99,WILD TRIBE,2012
UVERworld,100,THE OVER,2012
AKB48,1,さよならクロール,2013
AKB48,2,恋するフォーチュンクッキー ,2013
AKB48,3,ハート・エレキ,2013
AKB48,4,So long !,2013
EXILE,5,EXILE PRIDE ～こんな世界を愛するため～,2013
SKE48,7,チョコの奴隷,2013
SKE48,8,美しい稲妻,2013
NMB48,9,僕らのユリイカ,2013
嵐,10,Endless Game,2013
SKE48,11,賛成カワイイ!,2013
NMB48,12,カモネギックス,2013
乃木坂46,13,ガールズルール,2013
乃木坂46,14,バレッタ,2013
SMAP,15,Joy!!,2013
Kis-My-Ft2,16,My Resistance -タシカナモノ-,2013
Kis-My-Ft2,16,運命Girl,2013
サザンオールスターズ,17,ピースとハイライト,2013
関ジャニ∞,18,へそ曲がり,2013
関ジャニ∞,18,ここにしかない景色,2013
Kis-My-Ft2,19,キミとのキセキ,2013
Kis-My-Ft2,20,SNOW DOMEの約束,2013
Kis-My-Ft2,20,Luv Sick,2013
乃木坂46,21,制服のマネキン,2013
乃木坂46,22,君の名は希望,2013
HKT48,23,メロンジュース,2013
HKT48,24,スキ!スキ!スキップ!,2013
EXILE TRIBE(三代目 J Soul Brothers VS GENERATIONS),25,BURNING UP,2013
関ジャニ∞,26,涙の答え,2013
Kis-My-Ft2,27,S.O.S(Smile On Smile),2013
Kis-My-Ft2,27,キ・ス・ウ・マ・イ ～KISS YOUR MIND～,2013
Hey!Say!JUMP,28,Come On A My House,2013
SMAP,29,Mistake!,2013
SMAP,29,Battery,2013
山田涼介,31,ミステリー ヴァージン,2013
KinKi Kids,32,まだ涙にならない悲しみが,2013
KinKi Kids,32,恋は匂へと散りぬるを,2013
関ジャニ∞,33,ココロ空モヨウ,2013
ゴールデンボンバー,34,Dance My Generation,2013
T.M.Revolution×水樹奈々,35,Preserved Roses,2013
KAT-TUN,36,EXPOSE,2013
Sexy Zone,37,Real Sexy!,2013
Sexy Zone,37,BAD BOYS,2013
Sexy Zone,38,バィバィDuバィ～See you again～,2013
Sexy Zone,38,A MY GIRL FRIEND,2013
天野春子(小泉今日子),39,潮騒のメモリー,2013
東方神起,40,OCEAN,2013
モーニング娘。,41,わがまま 気のまま 愛のジョーク,2013
モーニング娘。,41,愛の軍団,2013
東方神起,42,Catch Me -If you wanna-,2013
福山雅治,43,誕生日には真白な百合を,2013
福山雅治,43,Get the groove,2013
2PM,44,GIVE ME LOVE,2013
KAT-TUN,45,FACE to Face,2013
NEWS,46,ポコポンペコーリャ,2013
NEWS,46,WORLD QUEST,2013
東方神起,47,SCREAM,2013
AKB48,48,永遠プレッシャー,2013
山下智久,49,SUMMER NUDE ’13,2013
Not yet,50,ヒリヒリの花,2013
柏木由紀,51,ショートケーキ,2013
赤西仁,52,HEY WHAT’S UP?,2013
EXILE,53,Flower Song,2013
2PM,54,Winter Games,2013
SEKAI NO OWARI,55,RPG,2013
SHINee,55,Boys Meet U,2013
東方神起,57,Very Merry Xmas,2013
キム・ヒョンジュン,58,TONIGHT,2013
水樹奈々×T.M.Revolution,59,革命デュアリズム,2013
山下智久,60,怪・セラ・セラ,2013
三代目 J Soul Brothers from EXILE TRIBE,61,SO RIGHT,2013
GENERATIONS from EXILE TRIBE,62,HOT SHOT,2013
堂本剛,63,瞬き,2013
EXILE TAKAHIRO,64,一千一秒,2013
テゴマス,65,猫中毒,2013
モーニング娘。,66,ブレインストーミング,2013
モーニング娘。,66,君さえ居れば何も要らない,2013
超新星,67,WINNER,2013
モーニング娘。,68,Help me!!,2013
高橋みなみ,69,Jane Doe,2013
桑田佳祐,70,Yin Yang,2013
桑田佳祐,70,涙をぶっとばせ!!,2013
桑田佳祐,70,おいしい秘密,2013
福田こうへい,71,南部蝉しぐれ,2013
堀田家BAND,72,サヨナラ☆ありがとう,2013
E-girls,73,ごめんなさいのKissing You,2013
THE SECOND from EXILE,74,SURVIVORS feat.DJ MAKIDAI from EXILE,2013
THE SECOND from EXILE,74,プライド,2013
EXILE,75,No Limit,2013
花は咲くプロジェクト,76,花は咲く,2013
Perfume,77,未来のミュージアム,2013
GENERATIONS from EXILE TRIBE,78,Love You More,2013
ももいろクローバーZ,79,GOUNN,2013
UVERworld,80,Fight For Liberty,2013
UVERworld,80,Wizard CLUB,2013
SUPER☆GiRLS,81,常夏ハイタッチ,2013
GENERATIONS from EXILE TRIBE,82,ANIMAL,2013
氷川きよし,83,しぐれの港,2013
水樹奈々,84,Vitalization,2013
渡辺麻友,85,ラッパ練習中,2013
Acid Black Cherry,86,Greed Greed Greed,2013
三代目 J Soul Brothers from EXILE TRIBE,87,冬物語,2013
三代目 J Soul Brothers from EXILE TRIBE,88,SPARK,2013
前田敦子,89,タイムマシンなんていらない,2013
KARA,90,バイバイ ハッピーデイズ!,2013
テゴマス,91,サヨナラにさよなら,2013
Perfume,92,Magic of Love,2013
ノースリーブス,93,キリギリス人,2013
ST☆RISH,94,マジLOVE2000%,2013
SUPER JUNIOR-K.R.Y.,95,Promise You,2013
柏木由紀,96,Birthday wedding,2013
KARA,97,サンキュー サマーラブ,2013
氷川きよし,98,満天の瞳,2013
コブクロ,99,One Song From Two Hearts,2013
コブクロ,99,ダイヤモンド,2013
e-girls,100,クルクル,2013
AKB48,1,ラブラドール・レトリバー,2014
AKB48,2,希望的リフレイン,2014
